sector_score,location_id,score_a,risk_a,score_b,risk_b,risk_c,score_mv,risk_d,risk_e,risk_f,control_risk
3.89,23,0.6,2.508,0.2,0.5,1.0,0.2,0.6759999999999999,0.4,0.0,0.4
3.89,6,0.2,0.0,0.2,0.966,1.0,0.2,0.188,0.4,0.0,0.4
3.89,6,0.2,0.102,0.2,0.046,1.0,0.2,0.0,0.4,0.0,0.4
3.89,6,0.2,0.0,0.6,6.48,3.6,0.6,7.05,0.4,0.0,0.4
3.89,6,0.2,0.0,0.2,0.016,1.0,0.2,0.0,0.4,0.0,0.4
3.89,6,0.2,0.0,0.2,0.166,1.0,0.2,0.59,0.4,0.0,0.4
3.89,7,0.4,0.44,0.4,2.964,1.0,0.6,26.97,0.4,0.0,0.4
3.89,8,0.6,5.1,0.6,7.218,2.2,0.4,3.116,0.4,0.0,0.4
3.89,8,0.6,5.04,0.6,6.63,2.2,0.4,2.9360000000000004,0.4,0.0,0.4
3.89,8,0.6,2.388,0.2,0.198,1.0,0.2,0.386,0.4,0.0,0.4
3.89,8,0.6,3.258,0.6,6.462000000000001,1.0,0.2,0.884,0.4,0.0,0.4
3.89,8,0.6,9.228,0.6,24.084,1.0,0.2,0.192,0.8,0.4,1.2
3.89,8,0.6,3.282,0.4,3.052,1.0,0.6,6.257999999999999,0.4,0.4,0.8
3.89,8,0.4,0.436,0.2,0.07,1.0,0.2,0.0,0.4,0.0,0.4
3.89,8,0.2,0.0,0.2,0.168,1.0,0.2,0.0014,0.4,0.0,0.4
3.89,13,0.4,0.78,0.4,3.6039999999999996,1.0,0.4,3.6,0.4,0.0,0.4
3.89,37,0.6,5.124,0.6,18.977999999999998,1.0,0.6,24.768,0.4,0.4,0.8
3.89,37,0.6,2.508,0.2,0.966,2.2,0.6,8.418,0.4,0.0,0.4
3.89,37,0.4,0.7240000000000001,0.2,0.20600000000000002,1.0,0.2,0.0,0.4,0.0,0.4
3.89,37,0.6,2.9160000000000004,0.6,28.068,2.2,0.6,37.908,0.4,0.0,0.4
3.89,24,0.6,3.7560000000000002,0.6,8.46,1.0,0.6,20.544,0.4,0.4,0.8
3.89,3,0.2,0.004,0.4,2.376,1.0,0.2,0.002,0.4,0.0,0.4
3.89,3,0.6,3.1860000000000004,0.6,13.674000000000001,1.0,0.6,123.11399999999999,0.4,0.4,0.8
3.89,3,0.2,0.188,0.2,0.002,1.0,0.2,0.02,0.4,0.0,0.4
3.89,4,0.6,3.468,0.6,34.751999999999995,1.0,0.6,6.696000000000001,0.4,0.0,0.4
3.89,4,0.6,4.452,0.2,0.44799999999999995,1.0,0.2,0.25,0.4,0.0,0.4
3.89,4,0.2,0.0,0.2,0.22,1.0,0.2,0.0014,0.4,0.0,0.4
3.89,14,0.6,4.11,0.6,19.055999999999997,1.0,0.2,0.292,0.4,0.0,0.4
3.89,14,0.2,0.0,0.2,0.20600000000000002,1.0,0.2,0.0,0.4,0.0,0.4
3.89,37,0.2,0.0,0.2,0.15,1.0,0.4,2.7119999999999997,0.4,0.0,0.4
3.89,37,0.6,1.44,0.6,9.978,1.0,0.2,0.23199999999999998,0.4,0.0,0.4
3.89,5,0.2,0.0,0.2,0.01,1.0,0.6,91.446,0.4,0.0,0.4
3.89,5,0.2,0.0,0.2,0.35200000000000004,1.0,0.2,0.21600000000000003,0.4,0.0,0.4
3.89,5,0.2,0.0,0.2,0.594,1.0,0.2,0.568,0.4,0.0,0.4
3.89,5,0.2,0.0,0.2,0.086,1.0,0.2,0.0,0.4,0.0,0.4
3.89,5,0.2,0.0,0.2,0.188,1.0,0.2,0.18,0.4,0.0,0.4
3.89,20,0.6,5.406000000000001,0.6,11.892000000000001,1.0,0.4,3.8680000000000003,0.4,0.0,0.4
3.89,19,0.2,0.0,0.2,0.01,1.0,0.2,0.0,0.4,0.0,0.4
3.89,19,0.6,7.17,0.6,18.54,1.0,0.6,19.608,0.4,0.0,0.4
3.89,19,0.6,4.782,0.6,10.308,1.0,0.6,561.018,0.4,0.0,0.4
3.89,19,0.2,0.0,0.2,0.742,1.0,0.6,17.778,0.4,0.0,0.4
3.89,19,0.2,0.124,0.2,0.40399999999999997,1.0,0.2,0.022000000000000002,0.4,0.0,0.4
3.89,19,0.2,0.0,0.2,0.45399999999999996,1.0,0.2,0.524,0.4,0.0,0.4
3.89,19,0.2,0.0,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.89,19,0.4,0.528,0.2,0.0,1.0,0.2,0.012,0.4,0.0,0.4
3.89,19,0.2,0.0,0.2,0.20600000000000002,1.0,0.2,0.486,0.4,0.0,0.4
3.89,21,0.2,0.0,0.6,9.228,1.0,0.6,75.678,0.4,0.0,0.4
3.89,21,0.2,0.0,0.2,0.204,1.0,0.2,0.0,0.4,0.0,0.4
3.89,21,0.2,0.0,0.6,12.425999999999998,1.0,0.6,12.474,0.4,1.2,1.6
3.89,22,0.6,1.77,0.4,2.6239999999999997,1.0,0.6,94.152,0.4,0.0,0.4
3.89,22,0.4,0.7879999999999999,0.2,0.42,1.0,0.6,7.374,1.2,0.0,1.2
3.89,22,0.2,0.0,0.6,10.83,1.0,0.2,0.45799999999999996,0.4,0.0,0.4
3.89,22,0.2,0.0,0.2,0.18600000000000003,1.0,0.4,3.112,0.4,0.0,0.4
3.89,9,0.2,0.0,0.2,0.322,1.0,0.2,0.502,0.4,0.0,0.4
3.89,9,0.6,3.792,0.4,3.6039999999999996,1.0,0.4,3.324,0.4,0.0,0.4
3.89,9,0.2,0.0,0.2,0.21,1.0,0.2,0.032,0.4,0.0,0.4
3.89,11,0.2,0.0,0.4,2.72,1.0,0.6,28.74,0.4,0.0,0.4
3.89,11,0.6,8.424,0.6,6.497999999999999,1.0,0.4,3.5639999999999996,0.4,0.0,0.4
3.89,11,0.6,4.002,0.6,10.812000000000001,2.2,0.2,0.99,0.4,1.2,1.6
3.89,11,0.2,0.0,0.2,0.0,1.0,0.2,0.35,0.4,0.0,0.4
3.89,11,0.2,0.0,0.2,0.016,1.0,0.2,0.136,0.4,0.0,0.4
3.89,11,0.4,0.504,0.2,0.01,1.0,0.2,0.0,0.4,0.0,0.4
3.89,12,0.2,0.0,0.2,0.006,1.0,0.2,0.012,0.4,0.0,0.4
3.89,12,0.2,0.0,0.2,0.158,1.0,0.6,9.492,0.4,0.0,0.4
3.89,12,0.6,2.8560000000000003,0.6,7.818,1.0,0.2,0.11599999999999999,0.4,0.4,0.8
3.89,12,0.6,5.2860000000000005,0.4,3.608,1.0,0.6,129.186,0.4,0.4,0.8
3.89,12,0.2,0.0,0.2,0.013999999999999999,1.0,0.2,0.0,0.4,0.0,0.4
3.89,12,0.6,8.352,0.2,0.44,1.0,0.2,0.01,0.4,0.0,0.4
3.89,12,0.4,0.428,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.89,12,0.2,0.0,0.2,0.17800000000000002,1.0,0.2,0.0,0.4,0.0,0.4
3.89,8,0.2,0.0,0.2,0.7959999999999999,3.6,0.6,32.004,0.4,0.0,0.4
3.89,8,0.6,6.0,0.6,44.556000000000004,2.2,0.6,6.696000000000001,0.4,1.8,2.2
3.89,29,0.6,2.544,0.4,3.2239999999999998,1.0,0.6,6.414,0.4,0.0,0.4
3.89,29,0.6,7.362,0.6,43.476000000000006,1.0,0.4,2.276,0.4,0.0,0.4
3.89,29,0.2,0.0,0.2,0.192,1.0,0.2,0.27,0.4,0.0,0.4
3.89,30,0.6,7.62,0.2,0.256,1.0,0.6,7.013999999999999,0.4,0.0,0.4
3.89,38,0.2,0.0,0.6,37.878,1.0,0.6,8.76,0.4,0.4,0.8
3.89,31,0.4,0.7959999999999999,0.6,6.144,1.0,0.6,12.468,0.4,0.0,0.4
3.89,2,0.2,0.01,0.2,0.042,2.2,0.6,61.332,0.4,0.0,0.4
3.89,2,0.2,0.0,0.4,2.948,1.0,0.2,0.14800000000000002,0.4,0.0,0.4
3.89,2,0.2,0.0,0.2,0.7440000000000001,1.0,0.2,0.0,0.4,5.4,5.8
3.89,2,0.6,42.888000000000005,0.6,15.378,1.0,0.6,524.0219999999999,0.4,0.0,0.4
3.89,2,0.2,0.0,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.89,2,0.2,0.14800000000000002,0.2,0.2,1.0,0.2,0.0,0.4,0.0,0.4
3.89,2,0.2,0.0,0.2,0.11599999999999999,1.0,0.2,0.0,0.4,0.0,0.4
3.89,9,0.6,5.0760000000000005,0.6,43.656000000000006,1.0,0.2,0.28,0.8,1.2,2.0
3.89,9,0.2,0.084,0.2,0.013999999999999999,1.0,0.2,0.084,0.4,0.0,0.4
3.89,32,0.2,0.002,0.2,0.258,2.2,0.6,21.912,0.8,0.0,0.8
3.89,32,0.6,4.11,0.6,39.558,2.2,0.4,2.408,0.8,0.0,0.8
3.89,32,0.6,3.222,0.4,3.448,1.0,0.6,10.296,0.8,0.0,0.8
3.89,32,0.6,2.958,0.4,2.616,2.2,0.6,7.746,0.8,0.0,0.8
3.89,32,0.4,0.488,0.2,0.012,1.0,0.2,0.0,0.8,0.0,0.8
3.89,32,0.2,0.0,0.2,0.17,1.0,0.2,0.0,0.8,0.0,0.8
3.89,16,0.6,9.432,0.6,34.764,3.6,0.6,6.474,1.2,0.0,1.2
3.89,16,0.6,2.97,0.6,25.566,1.0,0.2,0.6920000000000001,1.2,0.4,1.6
3.89,16,0.2,0.0,0.2,0.016,1.0,0.2,0.012,1.2,0.0,1.2
3.89,16,0.4,0.47600000000000003,0.6,7.728,1.0,0.2,0.466,1.2,0.0,1.2
3.89,16,0.2,0.0,0.2,0.544,1.0,0.4,2.2319999999999998,1.2,0.0,1.2
3.89,16,0.2,0.0,0.2,0.332,1.0,0.2,0.152,1.2,0.0,1.2
3.89,16,0.6,3.8819999999999997,0.6,7.308,1.0,0.6,15.162,1.2,0.0,1.2
3.89,16,0.4,0.532,0.2,0.0,1.0,0.2,0.04,1.2,0.0,1.2
3.89,16,0.2,0.0,0.2,0.22,1.0,0.2,0.0,1.2,0.0,1.2
3.89,33,0.6,1.5419999999999998,0.2,0.898,1.0,0.4,3.0239999999999996,0.4,0.4,0.8
3.89,15,0.2,0.0,0.2,0.376,1.0,0.2,0.0,0.4,0.0,0.4
3.89,15,0.2,0.154,0.6,10.985999999999999,1.0,0.6,40.218,0.4,0.0,0.4
3.89,15,0.6,3.138,0.4,2.356,1.0,0.6,11.64,0.4,0.0,0.4
3.89,15,0.6,3.9539999999999997,0.6,14.196,1.0,0.6,20.898000000000003,0.4,0.4,0.8
3.89,15,0.6,4.308,0.6,8.777999999999999,1.0,0.6,59.25,0.4,0.0,0.4
3.89,15,0.4,0.4,0.2,0.0,1.0,0.2,0.07200000000000001,0.4,0.0,0.4
3.89,13,0.2,0.0,0.2,0.012,1.0,0.2,0.0,0.4,0.0,0.4
3.89,13,0.6,1.578,0.2,0.51,1.0,0.2,0.0,0.4,0.0,0.4
3.89,13,0.2,0.0,0.2,0.174,1.0,0.2,0.0,0.4,0.0,0.4
3.89,36,0.6,6.5760000000000005,0.6,24.881999999999998,1.0,0.6,21.125999999999998,0.4,0.4,0.8
3.89,6,0.2,0.0,0.2,0.046,1.0,0.2,0.0,0.4,0.0,0.4
3.41,34,0.6,2.55,0.6,27.305999999999997,2.2,0.4,3.28,0.4,0.0,0.4
3.41,18,0.4,0.792,0.6,30.851999999999997,2.2,0.6,12.198,0.4,0.4,0.8
3.41,25,0.4,0.5760000000000001,0.6,17.55,1.0,0.6,21.078000000000003,0.4,0.0,0.4
3.41,39,0.4,0.608,0.6,22.398000000000003,2.2,0.6,38.22,0.4,0.0,0.4
3.41,39,0.6,2.178,0.4,4.34,1.0,0.2,0.055999999999999994,0.4,0.0,0.4
3.41,2,0.4,0.54,0.6,39.81,2.2,0.6,16.278,0.4,1.8,2.2
3.41,39,0.6,5.982,0.6,53.238,1.0,0.6,6.162000000000001,0.4,0.0,0.4
3.41,27,0.4,0.564,0.6,21.695999999999998,1.0,0.6,7.83,1.2,0.0,1.2
3.41,8,0.4,0.792,0.6,40.746,2.2,0.6,11.274000000000001,0.4,0.4,0.8
3.41,11,0.6,6.047999999999999,0.6,13.386,2.2,0.6,10.092,0.4,0.0,0.4
3.41,11,0.4,0.5760000000000001,0.4,3.86,3.9,0.6,6.018,0.4,0.0,0.4
3.41,12,0.6,15.24,0.6,31.044,1.0,0.6,7.602,1.2,1.2,2.4
3.41,12,0.6,1.926,0.6,43.242,1.0,0.6,8.274,1.2,0.4,1.6
3.41,9,0.6,7.367999999999999,0.6,12.372,1.0,0.6,6.096,0.4,0.4,0.8
3.41,9,0.6,4.158,0.6,42.156000000000006,1.0,0.4,3.892,0.4,0.0,0.4
3.41,16,0.6,2.004,0.6,22.554000000000002,1.0,0.6,16.17,0.4,0.0,0.4
3.41,13,0.6,9.396,0.6,44.718,1.0,0.6,17.442,0.4,0.0,0.4
3.41,13,0.6,1.7519999999999998,0.4,2.096,1.0,0.4,3.904,0.4,0.0,0.4
3.41,37,0.2,0.166,0.6,16.836,1.0,0.6,7.986000000000001,0.4,0.0,0.4
3.41,13,0.4,0.7879999999999999,0.6,18.15,1.0,0.2,0.136,0.4,0.0,0.4
3.41,5,0.6,6.0,0.6,28.74,1.0,0.4,3.08,0.4,0.0,0.4
3.41,35,0.6,7.836,0.6,27.252,1.0,0.6,6.24,0.4,0.0,0.4
3.41,38,0.4,0.54,0.6,19.95,2.2,0.6,12.372,0.4,0.0,0.4
3.41,4,0.6,2.478,0.6,10.044,1.0,0.6,26.412,0.4,0.0,0.4
3.41,31,0.6,7.572,0.6,48.036,2.2,0.6,26.118000000000002,0.8,0.0,0.8
3.41,31,0.6,9.816,0.6,24.66,1.0,0.6,7.218,0.8,0.0,0.8
3.41,16,0.6,7.608,0.6,24.6,2.2,0.6,7.127999999999999,0.4,0.0,0.4
3.41,16,0.6,7.037999999999999,0.6,51.522,1.0,0.4,2.784,0.4,0.4,0.8
